T?nh,N?m,Dân s?,Dân s? nam,Dân s? n?,Dân s? thành th?,Dân s? nông thôn,S? l??ng trang tr?i,Di?n tích tr?ng lúa,S?n l??ng lúa,Di?n tích tr?ng ngô,S?n l??ng ngô,Di?n tích khoai lang,S?n l??ng khoai lang,S? l??ng trâu,S? l??ng bò,S? l??ng l?n,S? l??ng gia c?m,Di?n tích r?ng tr?ng m?i,S?n l??ng g? khai thác,Di?n tích nuôi tr?ng th?y s?n,S?n l??ng th?y s?n,S? l??t v?n chuy?n hành khách,S? l??t luân chuy?n hành khách,Kh?i l??ng hàng hóa v?n chuy?n,Kh?i l??ng hàng hóa luân chuy?n,S? tr??ng ti?u h?c,S? tr??ng thcs,S? tr??ng thpt,S? giáo viên ti?u h?c,S? giáo viên thcs,S? giáo viên thpt,S? h?c sinh ti?u h?c,S? h?c sinh thcs,S? h?c sinh thpt,S? b?nh vi?n,S? tr?m y t?,S? bác s?
Hà N?i,2000,5197900,2568300,2629600,1797500,3400399,291,223000,1146000,32700,100700,15000,110000,49800,127100,1204699,10681000,700,16300,10600,21071,45599999,993400000,15263400,1333199999,626,556,156,19867,20770,7652,451293,390391,205831,34,556,2525
V?nh Phúc,2000,1104100,537800,566300,119700,984400,115,74800,327000,20100,54900,7800,45000,37200,99400,461800,5018000,1400,21700,3600,5853,900000,83400000,2043000,102200000,187,151,32,4725,4773,1520,112442,101372,42300,9,152,347
B?c Ninh,2000,950600,461600,489000,96400,854200,43,84000,441400,4400,11500,3300,30600,17100,42600,419700,3038000,200,6800,2500,6826,2400000,96200000,6138600,153600000,149,130,29,4099,3602,1638,98905,88251,42740,11,126,462
Qu?ng Ninh,2000,1024200,522500,501700,473000,551200,568,48400,176000,4900,12900,6700,39400,64400,14600,289200,2165000,7300,15100,13200,25509,5700000,448000000,5270000,400800000,142,111,30,5113,4274,1382,109881,83636,36263,18,184,638
H?i D??ng,2000,1656900,800000,856900,229800,1427100,126,147500,823500,5200,19400,7700,72100,35600,37500,613500,7003000,200,1700,6700,13430,1300000,90700000,4541000,303300000,278,270,41,6243,6310,1969,145128,150681,60966,17,263,663
H?i Phòng,2000,1691500,837300,854200,594000,1097500,243,95900,490300,600,1800,4100,37800,17200,10300,483000,4247000,400,29100,13100,42588,11000000,244700000,8117500,1822600000,217,189,49,6054,6816,3076,149377,141438,60396,22,218,1128
H?ng Yên,2000,1079000,521000,558000,103600,975400,14,89700,530000,7200,19100,3700,33100,6000,29200,400200,5543000,0,18000,3100,7580,1300000,42800000,4151000,119200000,166,167,26,4269,3926,1236,102308,101010,37790,13,161,395
Thái Bình,2000,1789400,854900,934500,103500,1685900,155,173100,1050600,4700,19100,8900,85200,11100,57400,690800,6615000,800,8700,9500,40182,2000000,187900000,2956100,130100000,293,281,39,7309,7230,1874,148210,144653,56506,13,285,1020
Hà Nam,2000,793800,385200,408600,49700,744100,19,75400,385600,7900,23300,3400,23100,5200,27500,278400,2573000,200,12000,3900,4910,900000,53500000,1752700,95500000,139,120,22,2986,3217,916,76002,70518,24741,10,116,472
Nam ??nh,2000,1886500,917900,968600,240100,1646400,261,166200,965600,3400,10900,7000,52100,12600,28400,562700,4846000,500,11200,11600,43946,4700000,474300000,4656000,539900000,295,245,42,6632,7164,2248,184677,164098,60235,16,229,980
Ninh Bình,2000,886800,434000,452800,116500,770300,379,83000,426600,6700,18900,3300,19000,21900,28900,283700,3013000,300,7500,3700,7610,1900000,88800000,4752000,148600000,155,143,23,3773,3929,1076,90066,89235,33003,10,145,393
Hà Giang,2000,619200,306500,312700,66300,552900,172,31200,121400,41800,71700,1200,4200,132200,54600,248000,1223000,8700,61700,1000,869,400000,46100000,418000,9600000,136,34,8,6285,1798,877,103303,36937,11691,11,175,264
Cao B?ng,2000,493900,241300,252600,66900,427000,18,28700,88000,31500,75800,2100,8900,108700,104300,245000,1549000,4000,32400,300,248,1000000,80200000,566000,30000000,173,60,9,3780,1891,572,68225,43802,16025,16,189,330
B?c K?n,2000,278400,139100,139300,39900,238500,1,18800,66300,9900,21200,400,1400,87000,32500,157200,1227000,6100,22000,500,311,700000,34500000,1015600,14500000,110,65,5,2093,1563,341,35632,28399,10433,6,122,221
Tuyên Quang,2000,684100,338200,345900,64400,619700,77,44500,184500,11700,38600,2400,14800,137400,19300,266100,2432000,3700,90200,1300,1428,1500000,116600000,1910000,61500000,131,101,13,4547,3302,1006,83710,73014,34619,11,145,372
Lào Cai,2000,607400,303300,304100,103200,504200,6,36400,113000,22500,38300,400,1700,100300,17600,229100,1376000,2400,25000,900,528,1600000,44300000,428300,3300000,149,98,18,4563,2578,457,95011,51922,11026,12,165,290
Yên Bái,2000,688000,343200,344800,135000,553000,695,40000,150500,9900,19500,2500,12500,83300,30100,283000,2411000,6500,84200,1800,1234,2400000,118100000,1356000,37200000,155,94,20,4579,3167,873,89110,63180,20517,11,178,409
Thái Nguyên,2000,1055500,525900,529600,233900,821600,320,68600,265500,10700,30800,11800,54900,135900,23400,348100,2621000,1900,11900,2300,3098,1400000,113100000,2543000,86700000,222,173,21,5318,4981,1460,100866,97498,33901,15,175,700
L?ng S?n,2000,707900,351100,356800,130800,577100,5,47100,144700,12700,44800,2600,11700,188800,42500,277500,2962000,15200,63900,900,432,1700000,165400000,2183000,43300000,154,83,14,4895,3707,647,95570,73275,19836,13,226,404
B?c Giang,2000,1502700,742600,760100,124300,1378400,752,115000,472800,11400,29400,14800,115700,125300,68000,718300,7077000,6900,35500,3000,6652,3300000,233700000,2713000,77100000,256,215,36,7981,5936,1731,162834,154336,52778,15,229,611
Phú Th?,2000,1270100,623500,646600,180600,1089500,179,71600,282300,16200,42500,4800,21800,88500,100500,448300,6559000,4100,47200,4700,10782,1800000,160900000,2946200,95000000,294,246,47,6324,5694,1401,129604,119747,49031,18,273,556
?i?n Biên,2000,616800,311700,305100,75000,541800,94,51900,131600,31100,43200,300,1200,127100,22700,232400,738000,0,0,0,0,1000000,67500000,540000,11000000,130,59,10,4757,1929,494,89850,36891,10257,8,88,285
Lai Châu,2000,616800,311700,305100,75000,541800,94,51900,131600,31100,43200,300,1200,127100,22700,232400,738000,1800,108600,1200,527,1000000,67500000,540000,11000000,130,59,10,4757,1929,494,89850,36891,10257,8,90,285
S?n La,2000,909900,456200,453700,103300,806600,94,41500,108100,51600,135800,800,3200,119200,87600,340400,2016000,7900,87100,1000,2181,1400000,128600000,783000,68500000,164,115,17,7414,3448,664,143215,70558,18075,14,201,394
Hòa Bình,2000,770500,381500,389000,106800,663700,94,43400,163900,21500,48800,4900,19200,128300,48000,294700,2323000,5800,49800,1300,1291,1700000,91000000,1480000,39900000,199,180,33,5678,4385,946,85028,73544,23011,13,214,325
Thanh Hóa,2000,3468200,1694800,1773400,319200,3149000,1874,257500,1095800,46400,126700,24400,130000,216500,233600,1088100,8180000,4600,39400,10600,48968,2700000,215300000,9280000,591000000,729,650,84,16848,13306,4092,411135,366732,122553,32,623,1399
Ngh? An,2000,2871100,1413600,1457500,296100,2575000,1336,186800,753600,37500,78700,29500,148400,265900,268100,821700,6714000,10900,93800,12200,38628,9400000,639500000,6294000,516000000,678,445,82,16683,12819,4673,375265,319962,121434,24,469,982
Hà T?nh,2000,1268400,622300,646100,124400,1144000,280,107300,395700,2500,5800,19700,107900,99100,173100,366900,3034000,7100,28500,2800,24044,2200000,180400000,3913000,175800000,315,203,35,6432,6136,1938,164852,143184,58213,14,261,507
Qu?ng Bình,2000,802100,396500,405600,90600,711500,318,46200,191100,3300,10400,6100,35600,30100,130900,278500,1712000,5400,30800,1400,20493,5800000,93400000,3379000,105800000,248,141,21,3979,3723,1046,107603,82540,30791,8,157,378
Qu?ng Tr?,2000,577600,284200,293400,137300,440300,256,45900,191300,1900,3100,4900,28300,35400,62700,185600,1450000,6900,13400,900,12744,4200000,259500000,1389000,81900000,154,92,21,3232,2335,1201,80154,55131,23612,9,138,308
